,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep
0,2018-06-24,7,FALSE,TRUE,1996,1690,3367,3.01,0,59,0,1377,47,2,14,362,-1,11,133.10892,14,89.2088,0,0,446.51352,284,92,379,0,2018-06-24T22:17:00.000,2018-06-25T05:28:30.000,431,56,2,244,26,79,6,52,25,13,57,19
1,2018-06-25,1,TRUE,FALSE,2863,1685,8394,5.55,36.58,58,12,709,244,42,14,1361,-1,2,12.40518,94,514.11279,0,0,2311.92765,1326,95,333,0,2018-06-25T22:49:30.000,2018-06-26T05:16:30.000,387,75,3,214,27,44,7,54,30,20,56,12
2,2018-06-26,2,TRUE,FALSE,3398,1683,13569,9.68,24.38,57,8,687,231,33,102,2004,-1,10,103.59112,187,1245.54876,0,0,2034.05724,1232,89,351,0,2018-06-26T22:25:30.000,2018-06-27T05:07:30.000,402,53,3,223,28,75,7,51,29,14,56,19
3,2018-06-27,3,TRUE,FALSE,3442,1682,13337,9.33,33.53,57,11,665,243,30,100,2035,-1,11,114.28908,217,1310.46804,0,0,1986.0357,1187,97,365,0,2018-06-27T22:36:30.000,2018-06-28T05:24:00.000,407,66,4,197,32,102,10,42,32,17,49,26
4,2018-06-28,4,TRUE,FALSE,1701,1682,559,0.36,18.29,57,6,1025,8,0,0,25,-1,0,0,0,0,0,0,403.96356,329,,,,,,,,,,,,,,,,,
5,2018-06-29,5,TRUE,FALSE,1681,1681,0,0,0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
6,2018-06-30,6,FALSE,TRUE,1681,1681,0,0,0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
7,2018-07-01,7,FALSE,TRUE,1718,1681,155,0.09,0,58,0,1427,13,0,0,46,-1,0,0,1,3.97018,0,0,233.77354,171,96,402,0,2018-07-01T22:34:00.000,2018-07-02T05:54:30.000,440,77,5,233,34,92,8,38,34,18,53,21
8,2018-07-02,1,TRUE,FALSE,2867,1681,7554,4.81,27.43,58,9,701,245,22,32,1372,-1,7,73.09176,92,558.1128,0,0,2220.65844,1331,90,317,0,2018-07-02T23:54:30.000,2018-07-03T06:32:30.000,398,62,2,163,19,92,4,81,20,16,41,24
9,2018-07-03,2,TRUE,FALSE,2898,1681,10173,7.4,6.1,58,2,667,210,21,67,1481,-1,5,52.304,84,623.09475,3,38.294,1943.8875,1153,95,,0,2018-07-03T22:43:00.000,2018-07-04T05:18:30.000,395,,,,,,,,,,,
